pointfreeco/swift-composable-architecture	1.26.1	Package.resolved	swift
pola-rs/polars	@default	Cargo.lock	python
ppy/osu	2026.730.0	osu.sln	dotnet
prettier/prettier	3.9.6	yarn.lock	javascript
prisma/prisma	7.9.1	pnpm-lock.yaml	javascript
processone/ejabberd	26.07	package-lock.json	erlang
prometheus/prometheus	v3.13.2	go.sum	go
protocolbuffers/protobuf	v35.1	python/requirements.txt	cpp
psf/black	26.5.1	pyproject.toml	python
psf/requests	v2.34.2	pyproject.toml	python
puma/puma	v8.0.2		ruby
pydantic/pydantic	v2.13.4	uv.lock	python
pypa/pip	26.2.1	pyproject.toml	python
python-poetry/poetry	2.4.1	poetry.lock	python
pytorch/pytorch	v2.13.0	requirements.txt	polyglot
quarkusio/quarkus	3.38.1	pom.xml	java
quartznet/quartznet	v3.19.1	src/Quartz.AspNetCore/Quartz.AspNetCore.csproj	dotnet
r-lib/devtools	v2.5.2		r
r-lib/httr2	v1.3.0		r
r-lib/testthat	v3.3.2		r
rabbitmq/rabbitmq-server	v4.3.4	selenium/package.json	erlang
rack/rack	v3.2.6		ruby
rails/rails	v8.1.3.1	yarn.lock	ruby
ray-project/ray	ray-2.56.1	pyproject.toml	python
rayon-rs/rayon	v1.12.0	Cargo.toml	rust
rclone/rclone	v1.75.0	go.sum	go
react/react-native	v0.86.2	yarn.lock	javascript
reactiveui/ReactiveUI	24.1.0	src/ReactiveUI.AndroidX.Reactive/ReactiveUI.AndroidX.Reactive.csproj	dotnet
realm/realm-swift	v20.0.5	Package.swift	swift
reasonml/reason	3.18.0	package.json	ocaml
redis/redis	8.10.0	.codespell/requirements.txt	cpp
remix-run/react-router	react-router@8.3.0	pnpm-lock.yaml	javascript
restsharp/RestSharp	114.0.0	gen/SourceGenerator/SourceGenerator.csproj	dotnet
ring-clojure/ring	1.15.5	project.clj	clojure
rrousselGit/riverpod	riverpod-v3.4.2	website/yarn.lock	dart
rspec/rspec-core	v3.13.2		ruby
rstudio/renv	v1.2.4		r
rstudio/shiny	v1.14.0	package-lock.json	r
rubocop/rubocop	v1.89.0		ruby
ruby-grape/grape	v3.3.5		ruby
ruby/ruby	v4.0.6	Cargo.lock	ruby
rubygems/rubygems	v4.0.18	bundler/spec/realworld/fixtures/tapioca/Gemfile.lock	ruby
rust-lang/cargo	0.98.0	Cargo.lock	rust
rust-lang/rust-analyzer	@default	Cargo.lock	rust
rust-lang/rust	1.97.1	yarn.lock	rust
rustdesk/rustdesk	1.4.9	Cargo.lock	rust
sass/sassc-ruby	v2.4.0		ruby
scala/scala	v2.13.18	build.sbt	scala
scala/scala3	3.8.4	build.sbt	scala
scikit-learn/scikit-learn	1.9.0	pyproject.toml	python
scipy/scipy	v1.18.0	pyproject.toml	python
scrapy/scrapy	2.17.0	pyproject.toml	python
seancorfield/next-jdbc	v1.3.1118	deps.edn	clojure
seanmonstar/reqwest	v0.13.4	Cargo.toml	rust
sebastianbergmann/phpunit	13.3.0	composer.lock	php
serde-rs/serde	v1.0.229	Cargo.toml	rust
serilog/serilog	v2234	Serilog.sln	dotnet
shadcn-ui/ui	@default	pnpm-lock.yaml	javascript
sharkdp/bat	v0.26.1	Cargo.lock	rust
sharkdp/fd	v10.4.2	Cargo.lock	rust
sharkdp/hyperfine	v1.20.0	Cargo.lock	rust
sidekiq/sidekiq	v8.1.6		ruby
sinatra/sinatra	v4.2.1		ruby
sindresorhus/awesome	@default		other
slimphp/Slim	4.15.2	composer.json	php
snoyberg/conduit	conduit-1.3.5	stack.yaml.lock	haskell
socketio/socket.io	socket.io@4.8.3	package-lock.json	javascript
softwaremill/tapir	v1.13.31	build.sbt	scala
solidusio/solidus	v4.7.0		ruby
spatie/laravel-permission	8.3.0	composer.json	php
spf13/cobra	v1.10.2	go.sum	go
spring-projects/spring-boot	v4.1.0	build.gradle	java
spring-projects/spring-framework	v7.0.8	build.gradle	java
sqlalchemy/sqlalchemy	rel_2_0_51	pyproject.toml	python
sqldelight/sqldelight	2.3.2	build.gradle	kotlin
square/okhttp	1.3.0	pom.xml	java
square/retrofit	3.0.0	build.gradle	java
starship/starship	v1.26.0	Cargo.lock	rust
status-im/nimbus-eth2	v26.7.0	docs/requirements.txt	nim
storybookjs/storybook	v10.5.7	yarn.lock	javascript
strapi/strapi	v5.51.2	yarn.lock	javascript
streamlit/streamlit	1.61.1	uv.lock	python
supabase/supabase	v1.26.08	pnpm-lock.yaml	polyglot
surrealdb/surrealdb	v3.2.0	Cargo.lock	rust
sveltejs/svelte	svelte@5.56.8	pnpm-lock.yaml	javascript
swiftlang/swift-package-manager	0.6.0	Package.swift	swift
symfony/symfony	v8.1.4	composer.json	php
syncthing/syncthing	v2.1.3	go.sum	go
tailwindlabs/tailwindcss	v4.3.3	pnpm-lock.yaml	javascript
tauri-apps/tauri	tauri-v2.11.5	pnpm-lock.yaml	rust
technomancy/leiningen	2.13.0	project.clj	clojure
temporalio/temporal	v1.31.2	go.sum	polyglot
tensorflow/tensorflow	v2.21.0	tensorflow/lite/java/demo/build.gradle	polyglot
terraform-aws-modules/terraform-aws-eks	v21.24.2		terraform
terraform-aws-modules/terraform-aws-rds	v7.2.1		terraform
terraform-aws-modules/terraform-aws-s3-bucket	v5.15.4		terraform
terraform-aws-modules/terraform-aws-security-group	v6.0.0		terraform
terraform-aws-modules/terraform-aws-vpc	v6.6.1		terraform
terraform-google-modules/terraform-google-kubernetes-engine	v44.3.0	test/integration/go.sum	terraform
thephpleague/flysystem	3.35.2	composer.json	php
thoughtbot/ex_machina	v2.8.2	mix.lock	elixir
thoughtbot/factory_bot	v6.6.0	Gemfile.lock	ruby
tiangolo/sqlmodel	0.0.39	uv.lock	python
tidyverse/dplyr	v1.2.1		r
tidyverse/ggplot2	v4.0.3		r
tidyverse/tidyr	v1.3.2		r
tigerbeetle/tigerbeetle	0.17.9	src/clients/python/pyproject.toml	zig
tokio-rs/tokio	tokio-1.53.1	Cargo.toml	rust
torvalds/linux	v7.1	Documentation/sphinx/requirements.txt	other
traefik/traefik	v3.7.10	go.sum	go
treeform/pixie	6.1.0		nim
trekhleb/javascript-algorithms	@default	package-lock.json	javascript
trpc/trpc	v11.18.0	pnpm-lock.yaml	javascript
twbs/bootstrap	v5.3.8	package-lock.json	javascript
typelevel/cats	v2.13.0	build.sbt	scala
typelevel/fs2	v3.13.0	build.sbt	scala
typeorm/typeorm	1.1.0	pnpm-lock.yaml	javascript
vapor/vapor	4.122.0	Package.swift	swift
vectordotdev/vector	v0.57.0	Cargo.lock	rust
vercel/next.js	v16.3.0	pnpm-lock.yaml	javascript
vercel/turborepo	v2.10.9	pnpm-lock.yaml	javascript
vitejs/vite	v8.2.1	pnpm-lock.yaml	javascript
vllm-project/vllm	v0.27.0	pyproject.toml	python
vuejs/core	v3.5.41	pnpm-lock.yaml	javascript
vuejs/vue	v2.7.16	pnpm-lock.yaml	javascript
webpack/webpack	v5.109.2	yarn.lock	javascript
withastro/astro	astro@7.2.0	pnpm-lock.yaml	javascript
yesodweb/yesod	yesod-1.6.2.1	stack.yaml.lock	haskell
yiisoft/yii2	2.0.55	package.json	php
yt-dlp/yt-dlp	2026.07.04	uv.lock	python
ytdl-org/youtube-dl	2021.12.17		python
zed-industries/zed	v1.14.2	Cargo.lock	rust
zedeus/nitter	@default	tests/poetry.lock	nim
ziglang/zig	0.15.2		other
zigtools/zls	0.16.0		zig
zigzap/zap	v0.11.0		zig
zio/zio	v2.1.26	build.sbt	scala
